question_en,question_ne,response_en,response_ne,intent
"What are the side effects of these medicines?","Yo aushadhi haru ko side effects ke ke hun?","Common side effects of these medications can include stomach upset, dizziness, or allergic reactions. It's important to follow the recommended dosage and consult a healthcare provider if you experience any adverse effects.","Yo aushadhi haru ko samanaya side effects ma pet samasya, chakkar aunu, ya allergy hunu ho. particular dose matra aaushadi khanu ra kunai asar dekhema doctor sanga kura garnu jaruri cha.","health_intent"
"What do people usually crave during periods?","Mahina ko belama manis haru lai kun kun cheez khana man lagcha?","Many people experience cravings for sweet or salty foods during their periods due to hormonal changes.","Dherai manis haru lai mahina ko belama hormonal pariwartan ka karan le mitho ya nunilo cheez khana man lagcha.","diet_intent"
"What fruits are appropriate during periods?","Mahina ko belama kun fal haru khanu ramro huncha?","Fruits likee bananas, oranges, and berries are beneficial during periods as they provide essential vitamins and can help reduce cramps.","Kera, suntala, ra berries jasta fal haru mahina ko belama upayogi huncha kinabhane yasle aawasyak vitamin dincha ra pet dukhai kam garna madat garna sakcha.","diet_intent"
"What fruits to eat during periods?","periods ko bela kun fruits ramro ho?","Fruits likee bananas, oranges, and berries are beneficial during periods as they provide essential vitamins and can help reduce cramps.","Kera, suntala, ra berries jasta fal haru mahina ko belama upayogi huncha kinabhane yasle aawasyak vitamin dincha ra pet dukhai kam garna madat garna sakcha.","diet_intent"
"What vegetables to eat during periods?","periods ko bela kun vegetables ramro?","Leafy greens like spinach and kale are beneficial during periods as they are rich in iron and can help replenish lost nutrients.","Palungo ra kale jasta hariyo patyaharule mahina ko belama labhdayak huncha kinabhane yasle iron dincha ra gumaeko posak tatwa pura garna madat garna sakcha.","diet_intent"
"What vegetables are appropriate during periods?","Mahina ko belama kun tarkari haru khanu ramro huncha?","Leafy greens like spinach and kale are beneficial during periods as they are rich in iron and can help replenish lost nutrients.","Palungo ra kale jasta hariyo patyaharule mahina ko belama labhdayak huncha kinabhane yasle iron dincha ra gumaeko posak tatwa pura garna madat garna sakcha.","diet_intent"
"What hormone regulates our period?","Hamro mahina lai kun hormone le regulate garcha?","Hormones like estrogen and progesterone regulate the menstrual cycle.","Estrogen ra progesterone jasta hormone haru le period cycle lai control garcha.","health_intent"
"What is PMS?","PMS ke ho?","PMS stands for premenstrual syndrome, which includes symptoms like mood swings, bloating, and headaches that occur before the menstrual period.","PMS ko matlab premenstrual syndrome ho, jasle mood ko pariwartan, pet fulne, ra tauko dukhai jasta lakshan haru samel garcha, jo mahina aunu agadi dekhincha.","health_intent"
"How long does PMS last?","PMS kati din samma rahanchha?","PMS symptoms typically last from a few days up to two weeks before the start of the menstrual period.","PMS ka lakshan samanaya rupma kehi din dekhi dui hapta samma mahina suru hunu agadi rahanchha.","health_intent"
"What are the symptoms of PMS?","PMS ka lakshan haru ke ke hun?","PMS symptoms include mood swings, tender breasts, food cravings, fatigue, irritability, and depression.","PMS ka symptoms ma manasik pariwartan, breast dukhne, khana ko ichha badhne, thakai, ra sadness hun.","health_intent"
"Is eating fried food okay during periods?","Mahina ko bela ma fried food khana thik cha?","It's best to avoid fried foods during periods as they can increase estrogen levels and cause discomfort.","Mahina ko bela ma fried khana nabhaye ramro, kina ki yo estrogen ko level badhaera asajilo banauna sakcha.","diet_intent"
"Why do we crave sweets during periods?","Mahina ko bela ma mithai khana man kina lagcha?","Hormonal changes during periods can lead to a drop in serotonin levels, causing cravings for sweets.","Mahina ko bela ma hormonal pariwartan le serotonin ko level ghatne huna sakcha, jasle mithai khana man lagcha.","health_intent"
"Why do we crave salty foods during periods?","period ko bela ma salty food kina khana man lagcha?","Hormonal fluctuations can cause cravings for salty foods during menstruation.","Mahina ko bela ma hormonal changes le nunilo khana khana man lagcha.","health_intent"
"Why do we crave salty foods during periods?","period ko bela ma nunilo khana man kina lagcha?","Hormonal fluctuations can cause cravings for salty foods during menstruation.","Mahina ko bela ma hormonal changes le nunilo khana khana man lagcha.","health_intent"
"Why do we crave sweets?","period ma kina sweets khana man lagcha?","Hormonal changes during periods can lead to a drop in serotonin levels, causing cravings for sweets.","Mahina ko bela ma hormonal pariwartan le serotonin ko level ghatne huna sakcha, jasle mithai khana man lagcha.","health_intent"
"Does cocoa help during periods?","Mahina ko bela ma cocoa le madat garcha?","Cocoa contains magnesium, which can help reduce menstrual cramps.","Cocoa ma magnesium huncha, jasle mahina ko pet dukhai kam garna sakcha.","diet_intent"
"Does chocolate help with period cramps?","Chocolate le mahina ko pet dukhai kam garna madat garcha?","Dark chocolate, rich in magnesium, may help alleviate menstrual cramps.","Dark chocolate jasma magnesium dherai matra ma huncha, pet dukhai kam garna madat garcha.","diet_intent"
"can we eat chocolates in period?","period ma chocolate khanu huncha?","Dark chocolate, rich in magnesium, may help alleviate menstrual cramps.","Dark chocolate jasma magnesium dherai matra ma huncha, pet dukhai kam garna madat garcha.","diet_intent"
"what chocolate or sweets to eat in period?","pain reduce garna kasto chocolate ramro?","Dark chocolate, rich in magnesium, may help alleviate menstrual cramps.","Dark chocolate jasma magnesium dherai matra ma huncha, pet dukhai kam garna madat garcha.","diet_intent"
"Is feeling frustrated normal during periods?","periods ko bela ma dikka hunu  normal ho?","Yes, hormonal changes during periods can cause mood swings and frustration.","Ho, mahina ko bela ma hormonal changes le mental health lai affect garcha ra dikka huncha.","health_intent"
"i am sad?","ma dukhi chu?","Yes, hormonal changes during periods can cause mood swings and frustration.","Ho, mahina ko bela ma hormonal changes le mental health lai affect garcha ra dikka lagcha.","health_intent"
"i am not feeling good?","malai kina khusi chaina period ma?","Yes, hormonal changes during periods can cause mood swings and frustration.","Ho, mahina ko bela ma hormonal changes le mental health lai affect garcha ra dikka lagcha.","health_intent"
"i am frustated?","malai kina dikka lairako cha?","Yes, hormonal changes during periods can cause mood swings and frustration.","Ho, mahina ko bela ma hormonal changes le mental health lai affect garcha ra dikka lagcha.","health_intent"
"How to use tampons?","Tampon kasari use garne?","Insert the tampon into the vagina carefully, following the instructions on the package. Change it every 4-6 hours.","Tampon lai vagina ma ramrari halnu parcha, packet ma diyeko nirdeshan anusar. Harek 4-6 ghanta ma change garnu parcha.","usage_intent"
"How to use pads?","Pad kasari use garne?","Peel off the adhesive strip and place the pad on your underwear, ensuring it covers the area where blood flows. Change it every 4-6 hours or as needed.","Chipkine patta hataera, pad lai aafno underwear ma rakhnus, ragat bahane thau ma purai dhakos. Harek 4-6 ghanta ma ya awashyakta anusar change garnus.","usage_intent"
"How to use a menstrual cup?","Menstrual cup kasari use garne?","Fold the menstrual cup and insert it into the vagina. It will open up and collect the blood. Empty and clean it every 8-12 hours.","Menstrual cup lai moadhera vagina ma halnus. Yo khulera ragat collect garne cha. Prati 8-12 ghanta ma khali ra sapha garnus.","usage_intent"
"How to use a menstrual cup?","cup kasari use garne?","Fold the menstrual cup and insert it into the vagina. It will open up and collect the blood. Empty and clean it every 8-12 hours.","Menstrual cup lai moadhera vagina ma halnus. Yo khulera ragat collect garne cha. Prati 8-12 ghanta ma khali ra sapha garnus.","usage_intent"
"Why did I have more pain this time during my period?","malai kina yo pali dherai dukhyo?","This time, increased pain could be due to hormonal changes, stress, dehydration, or excessive uterine contractions. If the pain is unbearable, consult a doctor!","Yo pali dherai dukhne karan hormonal changes, stress, dehydration, wa uterus ko badi contraction le huna sakcha. ekdamai dukhe doctor sanga kura gare huncha", cramp_question
"Why does my hair fall during my period?","Period ko bela mero kapal kina jharcha?","Hair fall during periods can be due to hormonal changes, iron deficiency, stress, or diet.","Period ko bela kapal jharne karan hormonal parivartan, iron ko kami, stress, ra khanpan ko asar huna sakcha.","extra_intent"
"What does different different blood colors mean?", "Different different blood color ko meaning k ho?", Dark red/maroon: Normal- regular period blood. Bright red: Fresh blood- usually a healthy flow. Black or brown: Old blood that took longer to exit- normal. Dark purple: Could indicate hormonal imbalance or endometriosis. Orange or gray: Might indicate infection- consult a doctor!, "Gahiro ratto (Dark red/maroon): normal period ko blood ho. Halukko ratto (Bright red): Naya blood- normal. Kalo ya khairo (Black or brown): Pura safai na bhayeko purano ragat ho- normal ho. Gahiro jamuni ya purple (Dark purple): Hormonal imbalance ya endometriosis huna sakcha. Narani (Orange) ya khasro (Gray): Infection huna sakcha- doctor sanga kura garnu!", "blood_intent"
"why is my stomach paining?", "malai pet dukhyo?", "When experiencing severe stomach pain drink warm water and do light exercises and take rest. If the pain is too much then consult a doctor!", "Tato pani khana saknu huncha ani hot water bag use garna saknu huncha ra dherai dukhe painkiller khana saknu huncha.", cramp_question
"do men get period?","kta lai period huncha?", "men do not get period as they do not have uterus and ovaries.", "Keta haru lai period hudaina kina bhane keta haru ko uterus ra ovaries hudaina.", extra_intent
"what is the normal period blood flow?", "normal period blood flow kati ho?", "In one period the normal blood loss is 30 to 40 ml", "Normal period blood flow 30 dekhi 40 ml samma ho.", blood_intent
"why does my stomach hurt in period?", "period ma kina pet dukhcha?","Period pain is caused by uterine contractions.","Uterine contraction le garda period pain huncha.", cramps_question
"hi", "namaste", "hello! how can i help you?", "namaskar! ma hajur ko kasari sahayata garna sakchu?", greeting_intent
